frame,dff,cue,go,nogo,reward,punish,lick
0,-0.0788,0,0,0,0,0,0
1,-0.0539,0,0,0,0,0,0
2,-0.4706,1,0,1,0,0,0
3,0.8837,0,0,1,0,0,0
4,-1.0,0,0,1,0,0,0
5,0.9775,0,0,1,0,0,0
6,0.3096,0,0,1,0,0,0
7,2.6907,0,0,1,0,0,0
8,1.6609,0,0,1,0,1,1
9,1.6193,0,0,1,0,1,1
10,0.0015,0,0,1,0,1,1
11,0.6016,0,0,0,0,1,1
12,1.591,0,0,0,0,1,1
13,-1.0,0,0,0,0,1,1
14,-0.5632,0,0,0,0,1,1
15,1.1233,0,0,0,0,1,1
16,0.3706,0,0,0,0,1,1
17,1.502,0,0,0,0,1,1
18,0.3359,0,0,0,0,1,1
19,2.8841,0,0,0,0,1,1
20,2.5316,0,0,0,0,1,1
21,0.373,0,0,0,0,1,1
22,1.425,0,0,0,0,0,0
23,-0.1895,0,0,0,0,1,1
24,1.5225,0,0,0,0,1,1
25,1.5211,0,0,0,0,0,0
26,2.4204,0,0,0,0,0,0
27,1.1975,0,0,0,0,0,0
28,0.6976,0,0,0,0,0,0
29,-0.2367,0,0,0,0,0,0
30,0.192,0,0,0,0,0,0
31,2.6629,0,0,0,0,0,0
32,-1.0,0,0,0,0,0,0
33,0.8142,0,0,0,0,0,0
34,0.7076,0,0,0,0,0,0
35,-0.9067,0,0,0,0,0,0
36,2.4878,0,0,0,0,0,0
37,0.1536,0,0,0,0,0,0
38,1.7561,0,0,0,0,0,0
39,1.591,0,0,0,0,0,0
40,1.8758,0,0,0,0,0,0
41,-1.0,0,0,0,0,0,0
42,-1.0,0,0,0,0,0,0
43,-0.3146,1,1,0,0,0,0
44,-1.0,0,1,0,0,0,0
45,-1.0,0,1,0,0,0,0
46,-1.0,0,1,0,0,0,0
47,-0.9452,0,1,0,0,0,1
48,0.0838,0,1,0,1,0,1
49,2.6551,0,1,0,0,0,1
50,-0.6328,0,1,0,0,0,1
51,2.1949,0,1,0,0,0,1
52,-1.0,0,0,0,0,0,1
53,-0.604,0,0,0,0,0,1
54,-1.0,0,0,0,0,0,1
55,1.0944,0,0,0,0,0,1
56,-0.2801,0,0,0,0,0,1
57,-0.7546,0,0,0,0,0,1
58,-0.6074,0,0,0,0,0,1
59,0.4154,0,0,0,0,0,1
60,3.5133,0,0,0,0,0,1
61,3.813,0,0,0,0,0,1
62,0.2503,0,0,0,0,0,1
63,-0.2709,0,0,0,0,0,1
64,-0.9992,0,0,0,0,0,0
65,-0.521,0,0,0,0,0,0
66,-1.0,0,0,0,0,0,0
67,0.242,0,0,0,0,0,0
68,-0.1532,0,0,0,0,0,0
69,1.4496,0,0,0,0,0,0
70,1.219,0,0,0,0,0,0
71,-0.0652,0,0,0,0,0,0
72,-1.0,0,0,0,0,0,0
73,0.215,0,0,0,0,0,0
74,-1.0,0,0,0,0,0,0
75,-0.447,0,0,0,0,0,0
76,-1.0,0,0,0,0,0,0
77,-0.0562,0,0,0,0,0,0
78,-0.4182,0,0,0,0,0,0
79,-1.0,0,0,0,0,0,0
80,0.4784,0,0,0,0,0,0
81,-1.0,0,0,0,0,0,0
82,-1.0,0,0,0,0,0,0
83,-1.0,0,0,0,0,0,0
84,-1.0,1,0,1,0,0,0
85,-0.9472,0,0,1,0,0,0
86,-1.0,0,0,1,0,0,0
87,0.1761,0,0,1,0,0,0
88,-0.5571,0,0,1,0,0,0
