Year,Date,Month,Allotment,Plot,Community,Crop_Generic,Plants,Total_Flowers,Beetles,Hoverflies,Flies,Butterflies,Honeybees,Solitary_Bees,Wasps,Terrestris,Lapidarius,Pascuorum,Pratorum,Hypnorum,Hortorum ,Bumblebees
2017,2017-08-16,August,Camp_Site,Pete,Individual,Raspberry,3.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2017-08-16,August,Camp_Site,Pete,Individual,Rbean,50.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Rbean,14.0,140,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,2018-08-14,August,Hoggs,Community_H,Community,Rbean,4.0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2018,2018-08-31,August,Hoggs,Community_H,Community,Rbean,15.0,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Rbean,10.0,100,0,0,0,0,2,0,1,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Rbean,10.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Rbean,10.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Rbean,3.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Rbean,6.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Rbean,6.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Rbean,10.0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,2018-08-14,August,Hoggs,Community_H,Community,Rbean,20.0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Rbean,20.0,60,0,0,0,0,0,0,0,0,1,1,0,0,0,2
2018,2018-08-14,August,Hoggs,Community_H,Community,Rbean,,60,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,2018-04-25,April,Hoggs,Community_H,Community,Plum,1.0,200,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Bbean,50.0,350,0,0,0,0,0,0,0,0,0,1,0,0,0,1
