Month,Allotment,Crop,Flowers,Honeybees,Bumblebees,Hoverflies,Terrestris,Lapidarius,Pascuorum,Pratorum,Hypnorum,Hortorum
August,Camp_Site,Raspberry,6,0,0,0,0,0,0,0,0,0
August,Camp_Site,Rbean,50,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,140,0,1,0,0,0,1,0,0,0
August,Hoggs,Rbean,28,0,1,0,0,0,0,0,0,1
August,Hoggs,Rbean,75,1,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,100,2,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,100,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,100,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,21,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,60,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,60,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,100,0,1,0,1,0,0,0,0,0
August,Hoggs,Rbean,140,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,60,0,2,0,0,1,1,0,0,0
August,Hoggs,Rbean,60,0,1,0,1,0,0,0,0,0
April,Hoggs,Plum,200,0,0,2,0,0,0,0,0,0
August,Hoggs,Bbean,350,0,1,0,0,0,1,0,0,0
August,Hoggs,Bbean,180,0,0,0,0,0,0,0,0,0
August,Hoggs,Courgette,1,0,0,0,0,0,0,0,0,0
August,Hoggs,Courgette,1,0,0,0,0,0,0,0,0,0
August,Hoggs,Courgette,1,0,0,0,0,0,0,0,0,0
August,Hoggs,Courgette,1,0,0,0,0,0,0,0,0,0
August,Hoggs,Courgette,2,0,0,0,0,0,0,0,0,0
August,Hoggs,Courgette,3,0,0,0,0,0,0,0,0,0
August,Hoggs,Courgette,1,0,0,0,0,0,0,0,0,0
August,Hoggs,Courgette,1,0,0,0,0,0,0,0,0,0
August,Hoggs,Courgette,1,1,0,0,0,0,0,0,0,0
August,Hoggs,Courgette,1,0,0,0,0,0,0,0,0,0
August,Hoggs,Courgette,1,0,0,0,0,0,0,0,0,0
August,Hoggs,Cucumber,5,0,0,0,0,0,0,0,0,0
August,Hoggs,Cucumber,2,0,0,0,0,0,0,0,0,0
August,Hoggs,Cucumber,4,0,0,0,0,0,0,0,0,0
August,Hoggs,Cucumber,30,0,0,0,0,0,0,0,0,0
August,Hoggs,Cucumber,12,0,0,0,0,0,0,0,0,0
August,Hoggs,Cucumber,40,0,0,0,0,0,0,0,0,0
August,Hoggs,Physalis,60,0,3,0,0,0,3,0,0,0
August,Hoggs,Raspberry,20,0,1,0,1,0,0,0,0,0
August,Hoggs,Raspberry,60,1,2,0,0,0,2,0,0,0
August,Hoggs,Raspberry,80,0,2,0,0,0,2,0,0,0
August,Hoggs,Raspberry,100,0,3,0,0,0,3,0,0,0
August,Hoggs,Raspberry,200,0,3,0,0,0,3,0,0,0
August,Hoggs,Raspberry,400,0,2,0,0,0,2,0,0,0
August,Hoggs,Raspberry,30,0,0,0,0,0,0,0,0,0
August,Hoggs,Raspberry,40,2,2,0,1,0,1,0,0,0
August,Hoggs,Raspberry,60,4,4,0,2,0,2,0,0,0
August,Hoggs,Raspberry,60,1,2,0,0,0,2,0,0,0
August,Hoggs,Raspberry,80,2,2,0,0,0,1,1,0,0
August,Hoggs,Raspberry,100,0,2,0,1,0,1,0,0,0
August,Hoggs,Raspberry,100,0,0,0,0,0,0,0,0,0
August,Hoggs,Raspberry,200,1,1,0,0,0,1,0,0,0
